id,lat,lon,name
USC00058501,39.0935,-106.3513,TWIN LAKES RESERVOIR
USC00053489,39.0422,-108.4663,GRAND JUNCTION 6 ESE
USC00056266,39.1136,-108.3505,PALISADE
USC00051772,39.1013,-108.7338,COLORADO NATIONAL MONUMENT
USC00057519,39.29505,-102.86765,SEIBERT
USC00052932,39.2814,-103.0614,FLAGLER 1S
USC00053258,39.2774,-103.4958,GENOA
USC00058064,39.2495,-106.3713,SUGARLOAF RESERVOIR
USC00051121,39.3062,-102.2609,BURLINGTON
USC00051401,39.4105,-104.9058,CASTLE ROCK
USC00051660,39.3671,-106.1898,CLIMAX
USC00050454,39.4047,-105.4766,BAILEY
USC00053530,39.4607,-105.6785,GRANT
USC00054452,39.49,-105.0952,KASSLER
USC00050214,39.4992,-108.3809,ALTENBERN
USC00050834,39.6567,-102.1193,BONNY DAM 2NE
USC00055402,39.6211,-105.0655,MARSTON FILTER PLANT
USC00052790,39.638,-105.315,EVERGREEN
USC00054380,39.6552,-102.6802,JOES
USC00051186,39.6552,-105.7088,CABIN CREEK
USC00054242,39.7033,-102.2939,IDALIA
USC00051179,39.7402,-104.1275,BYERS 5 ENE
USC00053261,39.7052,-105.6996,GEORGETOWN
USW00023062,39.7633,-104.8694,DENVER-STAPELTON
USC00058995,39.7749,-105.117,WHEAT RIDGE 2
USC00054762,39.7488,-105.1205,LAKEWOOD
USC00056816,39.8297,-105.2352,RALSTON RESERVOIR
USC00053629,39.9363,-105.3502,GROSS RESERVOIR
USC00050950,39.9436,-104.8361,BRIGHTON 3 SE
USC00059096,40.0375,-106.2038,WILLIAMS FORK DAM
USC00055484,40.0358,-107.9058,MEEKER
USC00054664,40.0576,-106.368,KREMMLING
USC00056832,40.0889,-108.7727,RANGELY 1E
USC00059295,40.1238,-102.7215,YUMA
USC00050109,40.155,-103.1416,AKRON 4 E
USC00059265,40.1561,-106.9091,YAMPA
USC00053496,40.2669,-105.8322,GRAND LAKE 1 NW
USC00053553,40.4022,-104.6991,GREELEY UNC
USC00058839,40.4256,-105.2103,WATERDALE
USC00053867,40.4926,-107.2548,HAYDEN
USC00051932,40.4505,-107.5894,CRAIG 4SW
USC00054945,40.51461,-102.99068,LEROY 5 WSW
USC00055446,40.5158,-108.0947,MAYBELL
USC00054082,40.5454,-102.3412,HOLYOKE
USC00058756,40.7442,-106.2792,WALDEN
USC00057515,40.8591,-102.5166,SEDGWICK 5 S
USC00050372,39.1852,-106.838,ASPEN 1SW
USC00051964,37.9806,-105.6897,CRESTONE 2 SE
USC00055984,39.8988,-105.0133,NORTHGLENN
USC00057020,38.1499,-107.7583,RIDGWAY
USC00054726,37.75144,-103.47671,LA JUNTA 20 S
USC00056136,38.5301,-103.7059,ORDWAY 21 N
USC00058022,39.4344,-105.1208,STRONTIA SPRINGS DAM
USC00058575,39.6394,-106.3538,VAIL
USC00054054,40.9678,-106.0002,HOHNHOLZ RANCH
USC00053116,39.9425,-105.8172,FRASER
USC00055934,40.9319,-103.8678,NEW RAYMER 21 N
USC00057572,37.715,-105.2352,SHEEP MOUNTAIN
USC00054546,37.115,-103.2986,KIM 10SSE
USC00051060,40.6158,-105.2969,BUCKHORN MTN 1E
USC00054135,40.583,-105.632,HOURGLASS RESERVOIR
USC00055025,39.7555,-103.4986,LINDON 5 WNW
USC00054724,37.9824,-103.5439,LA JUNTA
USC00055236,40.435,-105.085,LOVELAND 2N
USC00052441,37.2911,-107.8563,DURANGO
USC00057296,40.7022,-105.7106,RUSTIC 9WSW
USC00053006,40.5756,-105.0236,FORT COLLINS 4 E
USC00051681,39.8958,-105.3847,COAL CREEK CANYON
USC00057249,39.4286,-105.0702,ROXBOROUGH STATE PARK
USC00058690,40.9656,-105.2186,VIRGINIA DALE 7 ENE
USC00051996,40.86,-102.803,CROOK
